id_matricula,fecha,observaciones
6493OEA,2011-08-30,"broken headlight, insufficient braking"
2685IAA,2010-09-11,"excess smoke, broken headlight"
8419EIE,2011-04-13,No se especificaron observaciones
9683IIA,2011-10-26,"windshield in poor condition, insufficient braking"
4978AUI,2011-02-11,No se especificaron observaciones
5700IIE,2010-08-22,windshield in poor condition
9778OEI,2006-06-22,"minor faults, cirulillo  of distribuitor failure"
5525OUO,2009-06-25,spoiled engine
5350OAE,2007-10-22,"broken headlight, accessories not allowed"
9200IIA,2010-11-26,broken headlight
7608OAU,2011-01-14,No se especificaron observaciones
9861AUO,2010-12-03,No se especificaron observaciones
3219AEO,2010-09-12,"worn tires, damaged chassis"
5526UOU,2009-05-23,cirulillo  of distribuitor failure
3242OEU,2007-12-26,spoiled engine
1103EEA,2009-09-28,minor faults
4978AUI,2011-02-11,No se especificaron observaciones
7103OIU,2010-07-12,"windshield in poor condition, broken hand brake"
6511IUE,2007-12-31,No se especificaron observaciones
0504IUE,2010-07-21,broken headlight
5154AEO,2010-05-21,No se especificaron observaciones
0583EAA,2008-08-31,"defective bulb, broken headlight"
2583UIO,2006-09-25,"minor faults, windshield in poor condition, damaged license plate"
1480EUA,2006-05-24,"broken headlight, accessories not allowed"
8953EIU,2010-09-17,No se especificaron observaciones
1329EUA,2007-01-28,"improperly regulated lights, insufficient braking"
2452UEO,2009-07-16,"excess smoke, improperly regulated lights"
0383IOU,2010-04-29,No se especificaron observaciones
7405UIU,2010-01-23,cirulillo  of distribuitor failure
2877AIA,2008-02-24,cirulillo  of distribuitor failure
1810AUI,2010-07-24,No se especificaron observaciones
8784IUI,2007-10-24,"spoiled engine, damaged chassis"
6118UAA,2011-07-19,cirulillo  of distribuitor failure
9063AOI,2011-08-28,No se especificaron observaciones
3722EAE,2010-07-08,No se especificaron observaciones
7283OOE,2010-09-20,No se especificaron observaciones
5290OEU,2009-11-16,"damaged chassis, insufficient braking"
6880OUO,2009-01-24,No se especificaron observaciones
3422AEU,2011-10-05,No se especificaron observaciones
5853OII,2010-08-06,broken hand brake
6118UAA,2011-07-19,windshield in poor condition
3219AEO,2010-09-21,No se especificaron observaciones
3451OIO,2008-12-26,worn tires
9861AUO,2010-12-03,No se especificaron observaciones
5862IOU,2010-07-22,No se especificaron observaciones
9454IIE,2006-12-18,No se especificaron observaciones
0098EUA,2011-06-23,"excess smoke, broken hand brake"
0772EOE,2011-07-13,No se especificaron observaciones
5700IIE,2010-08-16,minor faults
4734UAO,2011-02-25,No se especificaron observaciones
8545AOA,2009-03-14,No se especificaron observaciones
0703OEU,2011-09-24,accessories not allowed
2261EOI,2011-05-30,damaged chassis
9445OEU,2011-01-29,defective bulb
0344UEE,2012-01-17,improperly regulated lights
0383IOU,2010-04-29,No se especificaron observaciones
0504IUE,2010-07-21,insufficient braking
4334OUU,2007-06-26,"windshield in poor condition, damaged chassis"
7919AEO,2011-10-22,No se especificaron observaciones
0619IEO,2010-09-12,No se especificaron observaciones
6734OUU,2010-07-11,No se especificaron observaciones
5828EEE,2011-01-30,damaged license plate
6560AII,2010-03-28,"improperly regulated lights, excess smoke"
5408EII,2010-10-30,damaged license plate
8111EAA,2008-06-26,"windshield in poor condition, cirulillo  of distribuitor failure, broken hand brake"
0020AUA,2007-01-28,excess smoke
9336IIU,2008-11-24,windshield in poor condition
3451OIO,2008-12-25,minor faults
5502UIE,2007-06-24,"minor faults, exhaust pipe"
1943OAO,2009-02-06,"worn tires, broken hand brake"
0383IOU,2010-04-29,No se especificaron observaciones
1295IIA,2011-10-31,"excess smoke, insufficient braking"
4280EUI,2012-01-12,No se especificaron observaciones
5408EII,2010-10-30,accessories not allowed
6464AIA,2008-11-24,"damaged license plate, exhaust pipe"
4785UUA,2011-08-21,No se especificaron observaciones
8419EIE,2011-04-13,No se especificaron observaciones
0703OEU,2006-09-25,No se especificaron observaciones
6523AIO,2010-04-06,worn tires
9038OUI,2011-09-29,improperly regulated lights
7696UOA,2010-08-01,No se especificaron observaciones
9834EUO,2007-12-30,"broken headlight, insufficient braking"
9519IEI,2011-11-26,No se especificaron observaciones
8111EAA,2008-06-21,"damaged license plate, exhaust pipe"
7981IOE,2011-05-29,No se especificaron observaciones
5862IOU,2010-07-22,No se especificaron observaciones
2339OOI,2010-08-22,"worn tires, defective bulb, broken hand brake"
6095EAE,2010-05-24,No se especificaron observaciones
1802IAU,2009-10-31,"minor faults, broken hand brake"
5823AEO,2007-05-31,"spoiled engine, insufficient braking, accessories not allowed"
0772EOE,2011-07-13,No se especificaron observaciones
1244UEO,2011-06-14,"damaged license plate, damaged chassis, broken headlight"
5938AOI,2009-03-30,"windshield in poor condition, damaged chassis, broken headlight"
3202OUU,2011-12-22,broken hand brake
7196EOI,2011-03-04,No se especificaron observaciones
7196EOI,2011-03-04,No se especificaron observaciones
9519OEE,2008-10-26,excess smoke
6464AIA,2008-11-26,"insufficient braking, cirulillo  of distribuitor failure"
7376AEU,2007-01-28,improperly regulated lights
3283IAA,2009-12-11,"damaged license plate, broken hand brake"
5867AUU,2011-01-23,cirulillo  of distribuitor failure
3784IAO,2009-12-31,excess smoke
8533AOE,2009-11-14,"insufficient braking, broken hand brake"
6880OUO,2009-01-23,No se especificaron observaciones
1103EEA,2009-09-22,"worn tires, damaged chassis, exhaust pipe"
1306OEE,2007-02-14,spoiled engine
0206OOE,2010-07-25,No se especificaron observaciones
0861EUI,2010-07-21,No se especificaron observaciones
4450AAE,2008-11-28,accessories not allowed
3812EIU,2010-09-28,"windshield in poor condition, exhaust pipe"
1536UII,2008-07-31,"windshield in poor condition, exhaust pipe"
1802IAU,2009-10-22,"accessories not allowed, cirulillo  of distribuitor failure"
8775UUI,2011-08-16,No se especificaron observaciones
9519IEI,2011-11-26,No se especificaron observaciones
5350OAE,2007-10-21,No se especificaron observaciones
1244UEO,2009-06-16,spoiled engine
4237EIO,2010-12-02,No se especificaron observaciones
2950AAO,2010-09-18,"spoiled engine, windshield in poor condition, damaged chassis"
1675EOA,2010-12-30,No se especificaron observaciones
1117IAU,2008-01-19,insufficient braking
9599EAA,2011-12-31,broken hand brake
0935IOA,2011-05-19,insufficient braking
8173OAU,2010-08-27,"worn tires, excess smoke"
2698UEA,2009-01-27,broken hand brake
8668OEE,2008-12-09,No se especificaron observaciones
6111IAI,2008-12-28,No se especificaron observaciones
6891AIU,2010-06-05,No se especificaron observaciones
1564AII,2009-03-22,cirulillo  of distribuitor failure
6464AIA,2008-11-17,No se especificaron observaciones
5303EIO,2010-11-26,worn tires
4776EUI,2006-11-27,"broken headlight, broken hand brake"
7696UOA,2010-08-01,No se especificaron observaciones
5755OII,2008-11-24,"worn tires, cirulillo  of distribuitor failure"
9683IIA,2007-10-27,damaged chassis
0398EUI,2011-04-24,"worn tires, insufficient braking"
0935IOA,2011-05-19,exhaust pipe
1369IUA,2011-10-16,damaged license plate
6205AIA,2010-06-26,damaged chassis
5867AUU,2011-01-23,spoiled engine
5844EIA,2011-11-21,damaged chassis
3647AEO,2006-12-21,defective bulb
7405UIU,2010-02-08,improperly regulated lights
5023EII,2011-11-11,"exhaust pipe, cirulillo  of distribuitor failure"
8686IUU,2006-11-26,"defective bulb, broken headlight, accessories not allowed"
1480EUA,2006-05-24,No se especificaron observaciones
7494UEU,2011-02-28,No se especificaron observaciones
9507IIA,2011-03-26,No se especificaron observaciones
8177AAO,2008-07-15,excess smoke
0716AUU,2010-06-17,damaged license plate
0716AUU,2008-06-21,"worn tires, damaged chassis"
6205AIA,2010-06-26,worn tires
0718UUE,2011-03-18,No se especificaron observaciones
2261EOI,2007-05-31,No se especificaron observaciones
9733UAO,2011-10-29,accessories not allowed
3219AEO,2011-09-07,"windshield in poor condition, damaged license plate"
0383IOU,2010-04-29,No se especificaron observaciones
3202OUU,2007-12-24,"defective bulb, insufficient braking"
8960AEO,2011-06-10,No se especificaron observaciones
6891AIU,2010-06-05,No se especificaron observaciones
5119AUI,2011-05-17,No se especificaron observaciones
7196EOI,2011-03-04,No se especificaron observaciones
6648AEO,2010-09-09,"spoiled engine, windshield in poor condition, insufficient braking"
4280EUI,2012-01-12,No se especificaron observaciones
3204OUA,2010-08-29,No se especificaron observaciones
2698UEA,2009-01-28,minor faults
1329EUA,2007-01-30,"improperly regulated lights, broken headlight, insufficient braking"
0344UEE,2011-01-26,"worn tires, minor faults, broken headlight"
3631IUU,2007-07-31,"worn tires, minor faults"
1497IUA,2008-02-21,"broken headlight, broken hand brake"
8953EIU,2010-09-17,No se especificaron observaciones
1369OAU,2007-06-28,"worn tires, defective bulb"
5525OUO,2009-07-10,improperly regulated lights
5023EII,2010-11-20,No se especificaron observaciones
6829IOA,2006-04-29,"damaged chassis, exhaust pipe"
9336IIU,2008-11-28,No se especificaron observaciones
4639AEE,2010-12-06,No se especificaron observaciones
1369IUA,2011-10-16,accessories not allowed
4760AEE,2008-07-30,improperly regulated lights
3422AEU,2011-10-05,No se especificaron observaciones
0703OEU,2006-09-30,"excess smoke, windshield in poor condition"
6525AEI,2008-10-30,"improperly regulated lights, exhaust pipe"
5387EAA,2008-07-15,No se especificaron observaciones
3219AEO,2010-08-29,"worn tires, improperly regulated lights, damaged license plate"
5938AOI,2009-04-23,"improperly regulated lights, damaged chassis"
7493AUE,2009-01-31,No se especificaron observaciones
8489EAU,2010-12-21,"windshield in poor condition, exhaust pipe"
0431UIE,2007-08-29,excess smoke
1675EOA,2010-12-30,No se especificaron observaciones
3631IUU,2007-08-28,spoiled engine
3242OEU,2007-12-25,worn tires
2955AUA,2010-07-22,No se especificaron observaciones
2539EOE,2011-12-28,damaged license plate
1072IOA,2010-07-27,No se especificaron observaciones
8533AOE,2009-11-10,broken headlight
5853OII,2010-08-20,"spoiled engine, insufficient braking"
0703OEU,2006-09-30,insufficient braking
0861EUI,2010-07-21,No se especificaron observaciones
4519AIU,2006-04-28,insufficient braking
6118UAA,2011-07-19,"excess smoke, spoiled engine, windshield in poor condition, broken hand brake"
4481IEE,2011-03-28,No se especificaron observaciones
1650OEI,2010-12-14,excess smoke
3732IUO,2010-07-19,exhaust pipe
8775UUI,2011-08-16,No se especificaron observaciones
9778OEI,2006-06-30,"worn tires, accessories not allowed, insufficient braking"
1717III,2006-08-26,No se especificaron observaciones
3732IUO,2010-07-19,"spoiled engine, minor faults"
5525OUO,2009-07-19,damaged license plate
4741IOU,2009-01-22,"excess smoke, improperly regulated lights"
6292EIA,2010-12-26,No se especificaron observaciones
9507AAI,2010-05-28,No se especificaron observaciones
9117UEE,2007-01-29,"worn tires, excess smoke, defective bulb"
4166UOU,2006-12-31,minor faults
1650OEI,2009-12-16,"damaged license plate, defective bulb"
8111EAA,2008-06-21,No se especificaron observaciones
4702OIA,2009-11-16,"damaged chassis, insufficient braking"
1717III,2006-08-24,"damaged license plate, broken hand brake, insufficient braking"
6118UAA,2011-07-19,"damaged license plate, accessories not allowed, cirulillo  of distribuitor failure"
6306III,2008-04-20,"worn tires, insufficient braking"
7757IAI,2011-04-28,windshield in poor condition
9707OOI,2010-06-23,No se especificaron observaciones
4333EUU,2010-01-08,minor faults
4366UII,2006-09-23,"improperly regulated lights, damaged chassis"
9855AIE,2011-08-26,defective bulb
7376AEU,2007-01-24,damaged license plate
5828EEE,2011-01-30,No se especificaron observaciones
7919AEO,2011-10-22,No se especificaron observaciones
3722EAE,2009-07-15,No se especificaron observaciones
5823AEO,2007-05-29,damaged chassis
5350OAE,2007-10-14,excess smoke
1810AUI,2010-07-24,No se especificaron observaciones
0772EOE,2011-07-13,No se especificaron observaciones
1306OEE,2007-02-18,"minor faults, broken headlight"
8691OEI,2008-08-30,windshield in poor condition
0020AUA,2007-01-21,"accessories not allowed, broken hand brake"
5740AUA,2010-09-14,No se especificaron observaciones
0728IOU,2008-07-30,No se especificaron observaciones
8140AOE,2010-04-30,No se especificaron observaciones
7405UIU,2010-02-14,excess smoke
3195EOU,2006-03-15,"broken headlight, accessories not allowed"
5828EEE,2011-01-30,"broken headlight, broken hand brake"
9519IEI,2011-11-26,No se especificaron observaciones
7376AEU,2007-02-19,minor faults
1131AOO,2008-08-14,No se especificaron observaciones
8668OEE,2008-11-27,"improperly regulated lights, damaged chassis, cirulillo  of distribuitor failure"
5999AAI,2011-12-06,No se especificaron observaciones
5862IOU,2010-07-22,No se especificaron observaciones
9454IIE,2006-12-29,No se especificaron observaciones
5823AEO,2011-05-21,cirulillo  of distribuitor failure
6829IOA,2006-05-18,excess smoke
1117IAU,2008-01-17,No se especificaron observaciones
6648AEO,2010-09-14,"spoiled engine, damaged chassis"
0935IOA,2011-05-19,"worn tires, broken hand brake, accessories not allowed"
7376AEU,2007-01-29,No se especificaron observaciones
5502UIE,2007-06-18,insufficient braking
5938AOI,2009-04-16,"excess smoke, windshield in poor condition"
8448OEU,2011-09-29,minor faults
7757IAI,2011-04-28,accessories not allowed
5350OAE,2007-09-30,windshield in poor condition
6111IAI,2011-12-26,"minor faults, broken headlight, insufficient braking"
5938AOI,2009-04-21,No se especificaron observaciones
1556IAI,2012-01-28,"improperly regulated lights, defective bulb"
1244UEO,2011-06-14,"excess smoke, damaged chassis"
4286AUA,2008-08-30,No se especificaron observaciones
3283IAA,2009-12-13,damaged chassis
7283OOE,2010-09-20,No se especificaron observaciones
2893EII,2006-12-20,"worn tires, damaged chassis, broken hand brake"
9683IIA,2007-10-29,No se especificaron observaciones
5853OII,2010-08-08,No se especificaron observaciones
5408EII,2010-10-30,"broken headlight, insufficient braking"
5023EII,2011-11-11,damaged chassis
9834EUO,2007-12-25,"spoiled engine, exhaust pipe, insufficient braking"
5740AUA,2010-09-14,No se especificaron observaciones
2347OUI,2011-01-13,"improperly regulated lights, damaged license plate"
1695OEI,2009-05-18,"spoiled engine, cirulillo  of distribuitor failure"
9495AIA,2010-09-02,No se especificaron observaciones
1564AII,2009-03-28,damaged chassis
3346AOO,2010-07-24,cirulillo  of distribuitor failure
1810AUI,2010-07-24,No se especificaron observaciones
1650OEI,2009-12-26,"damaged chassis, broken headlight"
0438IAO,2011-03-12,No se especificaron observaciones
1286OEO,2012-01-24,windshield in poor condition
3667IIE,2007-04-29,broken headlight
4481IEE,2011-03-28,No se especificaron observaciones
4166UOU,2010-12-29,"minor faults, damaged chassis, defective bulb"
2685IAA,2010-09-05,"spoiled engine, broken headlight, insufficient braking"
0935IOA,2011-05-19,"broken hand brake, cirulillo  of distribuitor failure, insufficient braking"
6829IOA,2006-04-25,windshield in poor condition
5279OUE,2007-03-31,"insufficient braking, cirulillo  of distribuitor failure"
8668OEE,2008-11-29,cirulillo  of distribuitor failure
6864AIU,2011-07-18,spoiled engine
6061IUO,2006-11-24,No se especificaron observaciones
5828EEE,2011-01-30,"worn tires, insufficient braking"
4760AEE,2008-07-30,"excess smoke, broken headlight"
6292EIA,2010-12-26,No se especificaron observaciones
6279OUE,2009-12-28,worn tires
9038OUI,2011-09-29,defective bulb
7494UEU,2011-02-28,No se especificaron observaciones
6061IUO,2006-10-29,improperly regulated lights
7608OAU,2011-01-14,No se especificaron observaciones
9336IIU,2008-11-23,"spoiled engine, broken headlight, accessories not allowed"
0566EAU,2008-08-22,spoiled engine
3434AOI,2006-04-30,"windshield in poor condition, minor faults"
3295IOE,2010-11-02,No se especificaron observaciones
0772EOE,2011-07-13,No se especificaron observaciones
4280EUI,2012-01-12,No se especificaron observaciones
5938AOI,2009-04-22,No se especificaron observaciones
7196EOI,2011-03-04,No se especificaron observaciones
5806EUE,2006-09-24,worn tires
6797EIU,2010-06-17,No se especificaron observaciones
2452UEO,2009-06-28,cirulillo  of distribuitor failure
5755OII,2010-11-16,improperly regulated lights
4639AEE,2010-12-06,No se especificaron observaciones
3784IAO,2010-12-29,"minor faults, damaged chassis"
3732IUO,2010-07-19,spoiled engine
7372AEU,2006-04-28,"windshield in poor condition, insufficient braking"
3451OIO,2008-12-18,"windshield in poor condition, damaged chassis, exhaust pipe"
8140AOE,2010-04-30,No se especificaron observaciones
1810AUI,2010-07-24,No se especificaron observaciones
2458AEU,2010-08-26,broken headlight
1943OAO,2009-02-12,No se especificaron observaciones
3812EIU,2010-09-28,"damaged license plate, defective bulb"
1536UII,2008-08-16,worn tires
4978AUI,2011-02-11,No se especificaron observaciones
6292EIA,2010-12-26,No se especificaron observaciones
2955AUA,2010-07-31,damaged license plate
0206OOE,2010-07-25,"broken hand brake, cirulillo  of distribuitor failure"
6205AIA,2010-06-26,accessories not allowed
6118UAA,2011-07-19,"minor faults, broken hand brake"
0716AUU,2008-06-23,"improperly regulated lights, defective bulb, broken headlight, accessories not allowed"
6525AEI,2008-10-29,"spoiled engine, defective bulb"
1480EUA,2006-05-30,"worn tires, defective bulb, broken hand brake"
1943OAO,2009-02-14,"worn tires, improperly regulated lights, windshield in poor condition, damaged license plate"
0583EAA,2008-08-27,"defective bulb, broken hand brake"
5831EEE,2009-12-21,"excess smoke, cirulillo  of distribuitor failure"
9200IIA,2010-11-26,"minor faults, broken headlight"
3667IIE,2007-04-23,excess smoke
5831EEE,2009-12-24,broken hand brake
9683IIA,2011-10-26,No se especificaron observaciones
3784IAO,2010-12-29,spoiled engine
3797UOE,2007-03-29,broken headlight
5755OII,2008-11-24,"damaged chassis, damaged license plate, broken hand brake"
5350OAE,2007-09-28,"excess smoke, damaged chassis"
9787IEE,2007-08-21,spoiled engine
0935IOA,2010-05-31,defective bulb
6317EUO,2011-07-03,No se especificaron observaciones
8173OAU,2010-08-27,"exhaust pipe, broken hand brake"
8173OAU,2010-08-27,minor faults
5944EOE,2008-11-28,No se especificaron observaciones
3219AEO,2011-09-07,cirulillo  of distribuitor failure
5716IEO,2007-01-18,"windshield in poor condition, exhaust pipe"
5303EIO,2010-11-29,improperly regulated lights
3043OOI,2006-02-21,"minor faults, broken headlight"
2893EII,2006-12-25,worn tires
5279OUE,2007-04-26,"defective bulb, accessories not allowed"
2512UAA,2006-09-26,"worn tires, broken headlight"
2877AIA,2008-02-14,excess smoke
2970EUI,2007-08-30,worn tires
7919AEO,2011-10-22,No se especificaron observaciones
1286OEO,2011-01-29,"minor faults, windshield in poor condition"
5154AEO,2010-05-21,No se especificaron observaciones
4519AIU,2006-04-30,"minor faults, exhaust pipe"
9787IEE,2007-08-24,No se especificaron observaciones
0861EUI,2010-07-21,No se especificaron observaciones
6829IOA,2006-04-25,spoiled engine
5023EII,2010-11-15,"worn tires, broken hand brake, cirulillo  of distribuitor failure"
2955AUA,2010-07-19,"excess smoke, insufficient braking"
0861EUI,2010-07-21,No se especificaron observaciones
8545AOA,2009-02-19,"damaged license plate, broken headlight"
4978AUI,2011-02-11,No se especificaron observaciones
2458AEU,2010-08-26,exhaust pipe
0861EUI,2010-07-21,No se especificaron observaciones
8960AEO,2011-06-10,No se especificaron observaciones
5408EII,2010-10-30,"damaged chassis, accessories not allowed"
8177AAO,2008-07-10,broken headlight
3434AOI,2006-05-20,"spoiled engine, accessories not allowed, broken hand brake"
9336IIU,2008-11-21,windshield in poor condition
4776EUI,2010-11-25,No se especificaron observaciones
9861AUO,2010-12-03,No se especificaron observaciones
3949IOE,2010-08-19,"worn tires, spoiled engine"
2339OOI,2010-08-22,No se especificaron observaciones
5999AAI,2011-12-06,No se especificaron observaciones
2072UIE,2011-11-24,insufficient braking
6279OUE,2010-01-06,"improperly regulated lights, exhaust pipe"
9336IIU,2008-11-29,"defective bulb, broken headlight"
5831EEE,2010-01-12,"spoiled engine, broken headlight"
5525OUO,2009-06-28,insufficient braking
4776EUI,2006-11-26,"excess smoke, broken headlight, cirulillo  of distribuitor failure"
7283OOE,2010-09-20,No se especificaron observaciones
6317EUO,2011-07-03,No se especificaron observaciones
7376AEU,2007-01-30,damaged chassis
4166UOU,2006-12-30,worn tires
0020AUA,2007-01-29,"worn tires, insufficient braking"
6829IOA,2006-05-21,cirulillo  of distribuitor failure
0398EUI,2010-04-28,No se especificaron observaciones
0206OOE,2010-07-25,"worn tires, exhaust pipe"
3219AEO,2010-08-24,"minor faults, exhaust pipe"
6055EOO,2011-11-08,"windshield in poor condition, accessories not allowed"
9707OOI,2010-06-23,No se especificaron observaciones
0716AUU,2008-06-22,No se especificaron observaciones
2261EOI,2007-05-31,"excess smoke, windshield in poor condition, accessories not allowed"
8533AOE,2009-11-15,"windshield in poor condition, cirulillo  of distribuitor failure"
0504IUE,2010-07-21,"damaged chassis, broken headlight"
6111IAI,2011-12-26,"worn tires, improperly regulated lights"
6095EAE,2009-05-28,No se especificaron observaciones
3434AOI,2006-04-29,No se especificaron observaciones
0609OUU,2011-10-29,No se especificaron observaciones
7607OAA,2011-07-24,No se especificaron observaciones
3812EIU,2010-09-28,defective bulb
8173OAU,2010-08-27,"defective bulb, exhaust pipe"
6818EAU,2011-05-03,cirulillo  of distribuitor failure
2339OOI,2010-08-22,worn tires
3812EIU,2010-09-28,"minor faults, cirulillo  of distribuitor failure"
3195EOU,2006-03-23,"damaged license plate, damaged chassis, accessories not allowed"
5387EAA,2008-07-22,windshield in poor condition
4702OIA,2010-11-14,damaged chassis
7696UOA,2010-08-01,No se especificaron observaciones
5119AUI,2011-05-17,No se especificaron observaciones
7250EOE,2009-10-31,"improperly regulated lights, exhaust pipe"
2685IAA,2010-09-09,"exhaust pipe, broken headlight"
9218OIA,2011-10-30,"exhaust pipe, accessories not allowed"
6320UOU,2010-05-21,No se especificaron observaciones
1405AOU,2011-08-26,damaged chassis
5828EEE,2011-01-30,"defective bulb, accessories not allowed"
8489EAU,2011-12-15,No se especificaron observaciones
6734OUU,2007-06-30,accessories not allowed
3523OOE,2011-08-30,No se especificaron observaciones
4785UUA,2011-08-21,No se especificaron observaciones
2539EOE,2008-12-30,No se especificaron observaciones
5350OAE,2007-10-25,exhaust pipe
5387EAA,2008-07-19,"minor faults, windshield in poor condition, defective bulb"
9519IEI,2011-11-26,No se especificaron observaciones
6560AII,2011-03-19,broken hand brake
2539EOE,2008-12-30,defective bulb
6734OUU,2007-06-29,"worn tires, accessories not allowed"
0504IUE,2010-07-21,broken headlight
5023EII,2010-11-18,"exhaust pipe, insufficient braking"
5119AUI,2011-05-17,No se especificaron observaciones
5844EIA,2011-11-21,"broken headlight, cirulillo  of distribuitor failure, accessories not allowed"
9683IIA,2011-10-26,"damaged chassis, accessories not allowed"
1675EOA,2010-12-30,"improperly regulated lights, insufficient braking"
9507IIA,2011-03-26,No se especificaron observaciones
5350OAE,2007-09-28,"damaged chassis, defective bulb"
8448OEU,2011-09-29,"windshield in poor condition, insufficient braking"
1369OAU,2007-06-29,"spoiled engine, accessories not allowed"
9037UOU,2009-06-23,"minor faults, defective bulb"
1103EEA,2010-09-19,"worn tires, cirulillo  of distribuitor failure"
0122IIA,2006-12-24,"defective bulb, cirulillo  of distribuitor failure"
0098EUA,2011-06-23,spoiled engine
6560AII,2011-03-19,"defective bulb, cirulillo  of distribuitor failure"
9237OAU,2007-04-23,"minor faults, broken headlight"
5154AEO,2010-05-21,No se especificaron observaciones
9519OEE,2011-10-23,"minor faults, broken hand brake"
3647AEO,2006-12-21,cirulillo  of distribuitor failure
0062OEA,2010-07-22,"improperly regulated lights, spoiled engine"
7121UAU,2009-09-05,insufficient braking
4776EUI,2006-11-30,damaged chassis
5755OII,2008-11-24,exhaust pipe
8668OEE,2008-11-23,"excess smoke, minor faults, accessories not allowed"
6758UOE,2009-06-28,"worn tires, spoiled engine, broken hand brake"
1295IIA,2011-10-31,exhaust pipe
0062OEA,2010-06-30,No se especificaron observaciones
3523OOE,2011-08-30,"windshield in poor condition, defective bulb"
0946UOU,2010-08-29,No se especificaron observaciones
2970EUI,2011-08-28,"worn tires, minor faults"
5831EEE,2009-12-24,insufficient braking
1497IUA,2008-01-29,excess smoke
9519IEI,2011-11-26,No se especificaron observaciones
9454IIE,2006-12-27,cirulillo  of distribuitor failure
0398EUI,2010-04-29,"worn tires, broken headlight"
5350OAE,2007-10-21,"damaged license plate, broken hand brake"
9707OOI,2010-06-23,No se especificaron observaciones
4760AEE,2011-07-27,No se especificaron observaciones
2877AIA,2008-01-27,"damaged chassis, exhaust pipe"
1131AOO,2008-07-19,No se especificaron observaciones
3434AOI,2006-05-17,"windshield in poor condition, broken hand brake, cirulillo  of distribuitor failure"
6758UOE,2010-06-25,No se especificaron observaciones
1103EEA,2010-09-19,excess smoke
9336IIU,2008-11-28,defective bulb
5387EAA,2008-06-26,improperly regulated lights
8489EAU,2010-12-16,damaged chassis
3929OOO,2011-03-02,No se especificaron observaciones
8140AOE,2010-04-30,No se especificaron observaciones
6797EIU,2010-06-17,No se especificaron observaciones
7372OEI,2007-11-30,improperly regulated lights
0062OEA,2010-07-11,excess smoke
3043OOI,2006-02-20,"damaged chassis, accessories not allowed"
2925UEO,2010-12-12,"minor faults, damaged license plate"
8489EAU,2011-12-15,"worn tires, excess smoke, improperly regulated lights"
2339OOI,2007-08-29,"improperly regulated lights, damaged license plate"
0342OEO,2006-08-31,"damaged chassis, damaged license plate"
2452UEO,2009-07-04,excess smoke
4166UOU,2010-12-29,"broken headlight, exhaust pipe"
0566EAU,2008-08-20,"exhaust pipe, cirulillo  of distribuitor failure"
3812EIU,2010-09-28,"broken headlight, insufficient braking"
5119AUI,2011-05-17,No se especificaron observaciones
9037UOU,2009-06-23,"excess smoke, windshield in poor condition"
3346AOO,2011-07-14,No se especificaron observaciones
2970EUI,2011-08-28,No se especificaron observaciones
9495AIA,2010-09-02,No se especificaron observaciones
7375OAI,2010-11-07,No se especificaron observaciones
6206EOU,2010-06-27,accessories not allowed
0718UUE,2011-03-18,No se especificaron observaciones
2973AAI,2007-10-28,broken hand brake
3949IOE,2011-09-01,cirulillo  of distribuitor failure
2072UIE,2011-11-24,insufficient braking
8472OIE,2010-06-20,"spoiled engine, windshield in poor condition, damaged license plate"
3451OIO,2008-12-22,damaged chassis
9037UOU,2010-06-10,"excess smoke, windshield in poor condition"
1369IUA,2011-10-16,spoiled engine
3667IIE,2007-04-26,defective bulb
3949IOE,2010-08-28,"excess smoke, windshield in poor condition, broken headlight, cirulillo  of distribuitor failure"
8545AOA,2009-02-25,No se especificaron observaciones
6758UOE,2010-06-25,"damaged license plate, broken headlight, insufficient braking"
0122IIA,2006-12-29,"improperly regulated lights, excess smoke, insufficient braking"
6668OOO,2010-05-02,No se especificaron observaciones
5350OAE,2010-10-10,"defective bulb, exhaust pipe, broken headlight"
3949IOE,2010-08-19,broken hand brake
6292EIA,2010-12-26,No se especificaron observaciones
9507AAI,2010-05-28,No se especificaron observaciones
7696UOA,2010-08-01,No se especificaron observaciones
9861AUO,2010-12-03,No se especificaron observaciones
4640EUA,2008-06-17,excess smoke
8686IUU,2006-10-30,"excess smoke, defective bulb"
6061IUO,2006-10-31,broken headlight
9861AUO,2010-12-03,No se especificaron observaciones
2539EOE,2011-12-28,No se especificaron observaciones
6111IAI,2008-12-28,"worn tires, improperly regulated lights, cirulillo  of distribuitor failure"
4366UII,2006-09-29,"spoiled engine, windshield in poor condition"
5119EUA,2008-10-28,"excess smoke, spoiled engine"
4334OUU,2007-06-30,"worn tires, minor faults, broken hand brake"
6292EIA,2010-12-26,No se especificaron observaciones
4481IEE,2011-03-28,No se especificaron observaciones
4481IEE,2011-03-28,No se especificaron observaciones
7375OAI,2010-11-07,No se especificaron observaciones
6292EIA,2010-12-26,No se especificaron observaciones
0098EUA,2011-06-23,No se especificaron observaciones
3631IUU,2007-07-31,No se especificaron observaciones
0020AUA,2007-01-24,"damaged license plate, damaged chassis"
9855AIE,2011-08-26,defective bulb
6523AIO,2010-03-29,"spoiled engine, damaged chassis, exhaust pipe"
0383IOU,2010-04-29,No se especificaron observaciones
8111EAA,2008-06-27,minor faults
7919AEO,2011-10-22,No se especificaron observaciones
5350OAE,2010-10-10,exhaust pipe
5525OUO,2009-06-21,defective bulb
